age,alone,embarked,fare,pclass,sex,sibsp,survived,embark_town,deck
41.76,True,S,6.458,3,male,1,0,Southampton,G
26.16,True,S,12.268,2,male,1,0,Southampton,D
62.353,True,S,26.529,1,male,0,0,Southampton,E
21.791,False,S,7.387,3,male,0,0,Southampton,F
53.271,True,C,7.242,3,female,1,1,Cherbourg,F
51.304,True,S,7.403,3,male,0,0,Southampton,G
40.822,False,S,25.969,2,female,0,1,Southampton,D
20.943,True,S,59.515,1,male,1,0,Southampton,C
22.239,False,S,51.397,1,female,0,1,Southampton,C
16.732,True,S,5.995,3,male,0,0,Southampton,E
32.065,False,Q,6.549,3,male,0,0,Queenstown,G
2.048,False,S,11.973,3,female,1,1,Southampton,F
21.296,True,S,7.47,3,male,0,0,Southampton,G
26.775,True,S,7.74,3,male,0,0,Southampton,F
36.41,False,,2.056,1,male,1,1,,C
26.155,True,S,7.378,3,male,0,0,Southampton,E
35.049,True,,6.417,1,male,0,1,,C
17.231,False,Q,6.086,3,male,0,1,Queenstown,G
15.731,True,S,20.052,3,male,0,0,Southampton,E
17.656,False,S,5.915,3,male,0,1,Southampton,F
41.281,True,Q,12.824,3,male,2,0,Queenstown,E
22.818,False,C,49.781,1,female,0,1,Cherbourg,C
46.058,True,S,26.346,2,female,1,1,Southampton,E
16.667,True,S,14.461,3,male,0,0,Southampton,E
51.552,True,S,27.077,1,male,0,0,Southampton,A
22.309,True,S,15.457,3,female,3,0,Southampton,G
11.88,False,S,7.802,3,male,1,0,Southampton,F
33.898,True,S,13.482,2,female,0,1,Southampton,F
56.586,True,C,111.352,1,male,0,0,Cherbourg,B
25.982,False,C,23.698,2,female,0,1,Cherbourg,F
45.729,False,S,27.586,3,female,8,0,Southampton,F
46.509,True,,13.015,2,male,0,0,,E
32.109,True,S,26.051,2,female,3,1,Southampton,F
20.741,True,S,7.446,3,male,0,1,Southampton,F
23.416,False,S,7.669,3,female,0,0,Southampton,F
42.165,True,S,6.474,3,male,0,0,Southampton,E
30.153,True,S,6.445,3,male,0,0,Southampton,E
23.197,True,,236.623,1,male,0,1,,C
59.059,True,S,7.222,3,male,0,0,Southampton,E
56.411,True,S,7.262,3,male,0,0,Southampton,G
21.337,False,S,7.466,3,male,0,0,Southampton,F
37.07,True,Q,14.516,3,male,0,0,Queenstown,F
26.971,False,S,31.925,2,male,0,0,Southampton,F
37.605,False,C,220.503,1,female,1,1,Cherbourg,B
26.431,True,C,7.122,3,male,1,0,Cherbourg,G
23.008,True,S,7.332,3,male,0,0,Southampton,E
49.286,False,S,25.234,2,female,1,1,Southampton,D
41.431,False,S,46.899,3,female,0,0,Southampton,F
13.244,True,S,7.824,3,male,0,0,Southampton,F
42.581,False,Q,22.3,3,male,1,0,Queenstown,F
31.993,True,S,6.849,3,male,1,0,Southampton,F
18.237,True,S,8.469,3,male,0,0,Southampton,F
26.76,True,Q,7.035,3,male,0,1,Queenstown,E
22.044,True,S,10.093,3,female,1,0,Southampton,E
22.524,True,C,7.343,3,male,0,0,Cherbourg,G
16.95,False,Q,6.041,3,male,0,0,Queenstown,G
13.204,True,S,57.673,1,female,0,1,Southampton,B
22.653,True,Q,7.252,3,female,0,0,Queenstown,G
30.068,True,S,7.193,3,male,0,0,Southampton,G
2.975,False,S,27.303,3,female,0,1,Southampton,G
55.28,True,C,77.066,1,male,0,0,Cherbourg,E
17.16,True,S,5.982,3,male,1,0,Southampton,G
34.167,True,S,26.553,2,female,0,1,Southampton,F
41.337,True,S,39.11,3,female,1,0,Southampton,E
22.826,True,Q,7.321,3,female,0,0,Queenstown,G
28.173,False,S,7.096,3,male,0,0,Southampton,G
29.542,True,S,20.851,2,female,0,1,Southampton,E
6.359,False,Q,28.381,3,male,4,0,Queenstown,G
22.06,True,S,50.451,1,female,0,1,Southampton,E
37.464,True,S,23.773,3,male,0,0,Southampton,G
41.555,True,C,132.712,1,female,0,1,Cherbourg,C
27.021,True,S,7.389,3,male,0,0,Southampton,F
26.328,True,C,75.153,1,male,0,1,Cherbourg,A
23.608,True,S,25.171,3,female,0,1,Southampton,F
14.961,False,,40.28,1,female,0,1,,B
36.173,True,S,7.746,3,male,1,0,Southampton,F
31.597,True,C,14.048,3,male,0,1,Cherbourg,E
22.997,True,S,7.38,3,male,0,0,Southampton,G
32.32,False,S,6.848,3,male,0,0,Southampton,E
21.86,True,Q,7.32,3,male,0,0,Queenstown,F
14.851,True,S,7.242,3,female,0,1,Southampton,E
41.856,True,S,12.787,3,male,0,0,Southampton,F
31.405,True,S,6.499,3,male,0,0,Southampton,E
37.034,False,Q,6.719,3,male,0,0,Queenstown,E
11.578,False,S,8.9,3,male,1,0,Southampton,F
45.719,True,C,14.972,3,female,0,0,Cherbourg,G
26.466,False,S,7.602,3,male,8,0,Southampton,E
22.569,True,S,7.791,3,male,0,1,Southampton,G
38.877,True,C,141.685,1,female,1,1,Cherbourg,C
36.625,True,Q,14.39,3,male,0,0,Queenstown,F
36.79,True,Q,6.967,3,male,0,0,Queenstown,G
34.25,False,C,78.562,1,female,0,1,Cherbourg,B
16.63,True,S,6.462,3,male,0,0,Southampton,E
18.372,False,S,83.808,1,female,0,1,Southampton,C
22.483,False,S,60.093,1,female,0,1,Southampton,B
19.887,False,S,33.005,3,female,0,1,Southampton,E
29.131,False,S,20.893,2,female,1,1,Southampton,F
37.913,False,S,77.092,1,male,0,0,Southampton,C
39.091,False,S,31.373,3,female,0,0,Southampton,E
26.252,True,S,7.062,3,male,0,0,Southampton,F
24.328,False,S,7.37,3,male,2,0,Southampton,F
3.228,False,S,27.362,3,male,1,1,Southampton,F
21.516,False,S,7.473,3,male,1,0,Southampton,F
7.071,False,S,31.023,3,male,0,0,Southampton,F
46.11,False,S,47.278,1,female,1,1,Southampton,C
65.996,False,,71.0,1,male,0,0,,B
28.334,False,Q,15.501,3,female,1,0,Queenstown,E
41.106,False,S,33.986,1,male,0,0,Southampton,C
33.907,True,S,20.863,2,male,0,0,Southampton,F
6.461,False,S,21.777,3,female,2,0,Southampton,E
16.706,True,S,8.787,3,male,0,0,Southampton,G
31.59,False,C,13.703,2,male,0,0,Cherbourg,F
50.816,True,S,13.85,2,male,1,0,Southampton,F
25.966,True,S,7.664,3,male,0,0,Southampton,E
23.461,False,S,145.613,1,female,3,1,Southampton,A
20.279,True,S,9.519,3,female,2,0,Southampton,G
21.923,True,Q,7.409,3,male,0,1,Queenstown,E
8.244,False,S,46.012,3,male,5,0,Southampton,E
29.311,True,Q,15.511,3,female,0,1,Queenstown,G
7.194,False,Q,28.734,3,male,5,0,Queenstown,F
38.471,True,S,8.198,3,male,0,0,Southampton,F
23.129,True,S,7.329,3,male,0,0,Southampton,G
17.517,True,S,39.866,3,male,0,0,Southampton,F
42.426,True,S,26.992,2,male,1,0,Southampton,E
36.558,True,S,26.016,2,male,0,0,Southampton,F
24.68,True,C,28.065,1,male,0,0,Cherbourg,E
26.942,True,S,7.052,3,male,1,0,Southampton,G
15.876,False,Q,6.619,3,male,0,0,Queenstown,E
33.978,True,S,73.401,2,male,1,0,Southampton,F
30.305,False,S,8.975,3,female,0,0,Southampton,G
4.468,False,S,10.535,3,female,0,1,Southampton,F
37.24,True,,25.387,1,male,1,0,,B
21.43,True,C,7.356,3,male,0,0,Cherbourg,F
22.281,True,S,7.79,3,male,1,0,Southampton,F
20.083,True,S,7.433,3,male,0,0,Southampton,F
0.302,False,S,38.941,2,male,4,1,Southampton,F
14.789,True,Q,7.226,3,female,0,0,Queenstown,E
46.57,False,S,61.27,1,male,0,0,Southampton,B
17.145,True,S,70.28,2,male,0,0,Southampton,D
37.66,True,S,7.751,3,male,1,0,Southampton,F
21.025,True,S,7.435,3,male,0,0,Southampton,E
42.522,False,S,6.489,3,male,0,0,Southampton,G
37.059,False,C,64.594,1,female,1,1,Cherbourg,C
47.195,True,,8.122,3,female,1,0,,G
29.323,False,S,8.146,3,female,1,1,Southampton,G
32.67,True,S,6.547,3,male,1,0,Southampton,G
26.371,True,S,53.949,3,male,0,1,Southampton,F
1.231,False,Q,27.526,3,male,3,0,Queenstown,G
47.337,True,S,128.283,1,male,0,0,Southampton,C
1.703,False,S,32.255,3,male,4,0,Southampton,E
27.164,True,C,6.985,3,male,0,0,Cherbourg,G
33.748,True,C,35.855,2,male,1,0,Cherbourg,E
26.854,False,S,7.044,3,male,0,0,Southampton,F
2.733,False,S,11.661,3,male,4,0,Southampton,F
21.642,False,C,13.32,2,female,0,1,Cherbourg,E
29.115,False,Q,23.455,3,female,0,0,Queenstown,E
62.298,True,,33.0,2,female,0,1,,E
25.983,True,S,9.434,3,male,0,1,Southampton,E
32.801,False,,11.001,2,female,1,1,,E
51.092,True,S,7.451,3,male,0,0,Southampton,G
32.236,True,S,6.529,3,male,0,0,Southampton,F
55.315,True,Q,15.107,3,female,1,1,Queenstown,E
41.872,False,S,19.572,3,female,1,0,Southampton,F
32.288,True,S,6.482,3,male,0,0,Southampton,G
2.189,False,S,30.87,3,female,1,1,Southampton,F
33.713,False,S,7.35,3,male,1,0,Southampton,E
25.553,False,S,8.038,3,female,1,1,Southampton,F
22.429,True,S,17.864,3,male,0,0,Southampton,E
54.033,False,C,7.62,3,female,0,1,Cherbourg,G
26.177,False,S,7.845,3,female,1,1,Southampton,G
14.893,True,Q,7.577,3,female,0,0,Queenstown,E
25.249,True,S,7.999,3,female,0,1,Southampton,F
27.473,True,S,7.398,3,male,0,0,Southampton,E
23.02,False,Q,7.265,3,female,0,1,Queenstown,F
14.583,False,Q,7.572,3,female,0,1,Queenstown,G
27.006,True,S,66.521,3,male,0,1,Southampton,F
37.35,False,C,227.148,1,female,0,1,Cherbourg,E
22.53,False,S,18.27,2,female,0,1,Southampton,F
61.19,True,,78.056,1,female,0,1,,C
41.394,True,S,27.578,1,male,0,0,Southampton,B
58.154,False,C,146.804,1,female,0,1,Cherbourg,C
22.073,True,C,13.084,2,female,0,1,Cherbourg,F
25.049,True,S,11.05,3,female,0,1,Southampton,G
36.724,True,,1.843,1,male,0,1,,A
48.94,True,S,8.047,3,male,0,0,Southampton,F
28.447,True,S,21.501,3,female,0,0,Southampton,G
36.828,True,S,8.242,3,male,0,0,Southampton,F
31.792,True,S,20.007,2,male,1,0,Southampton,D
33.322,True,S,32.183,2,female,0,1,Southampton,E
31.043,False,S,10.59,2,male,0,1,Southampton,F
26.013,True,S,220.95,1,male,0,0,Southampton,E
23.32,True,S,56.067,3,male,0,0,Southampton,F
30.19,False,S,161.331,1,female,1,1,Southampton,D
71.804,True,,7.75,3,male,0,0,,G
10.428,False,,30.102,3,female,0,0,,F
26.036,True,S,7.038,3,male,1,0,Southampton,F
16.353,True,S,6.064,3,male,0,0,Southampton,G
53.588,True,Q,7.44,3,male,0,0,Queenstown,E
27.809,True,S,46.624,1,male,1,0,Southampton,C
25.261,True,S,7.085,3,male,0,0,Southampton,G
25.608,False,Q,8.59,3,female,1,1,Queenstown,F
36.141,False,,56.412,1,female,1,1,,D
30.194,True,S,23.756,2,male,1,0,Southampton,F
31.252,True,S,10.502,2,male,1,0,Southampton,D
26.012,True,Q,7.079,3,male,0,0,Queenstown,G
17.351,True,S,6.163,3,male,0,0,Southampton,E
31.887,True,C,31.305,1,male,1,1,Cherbourg,A
32.067,True,S,20.825,3,female,1,1,Southampton,F
51.543,False,S,29.101,1,male,0,1,Southampton,D
29.671,True,S,12.172,2,male,0,0,Southampton,F
28.088,False,C,13.245,3,male,0,1,Cherbourg,F
17.481,True,S,6.071,3,male,0,0,Southampton,E
41.05,True,C,129.185,1,female,1,1,Cherbourg,C
21.23,False,S,13.103,2,female,2,1,Southampton,D
29.843,True,S,8.58,3,female,3,1,Southampton,F
26.33,True,S,7.112,3,male,0,0,Southampton,F
40.01,True,S,51.85,1,male,0,0,Southampton,E
56.359,True,S,7.891,3,male,0,0,Southampton,F
21.582,True,C,7.463,3,male,0,0,Cherbourg,F
21.859,True,S,11.717,2,male,0,0,Southampton,D
48.964,True,S,7.637,3,male,1,0,Southampton,F
22.704,True,S,7.378,3,male,0,0,Southampton,F
48.21,True,,10.517,2,female,1,1,,D
18.08,False,C,14.272,3,female,0,0,Cherbourg,G
21.929,True,S,28.613,2,female,3,0,Southampton,E
31.0,True,Q,6.839,3,male,0,1,Queenstown,E
22.534,True,S,7.333,3,male,2,0,Southampton,E
22.004,False,S,51.251,1,male,0,0,Southampton,C
13.795,True,C,13.207,3,female,0,1,Cherbourg,G
16.39,True,C,5.966,3,male,0,0,Cherbourg,G
35.965,False,S,54.842,1,male,1,0,Southampton,B
14.161,False,C,12.446,2,female,0,1,Cherbourg,F
53.054,True,S,29.412,1,male,0,0,Southampton,E
55.971,True,C,26.722,1,male,0,0,Cherbourg,C
27.586,True,S,9.46,3,male,1,0,Southampton,F
37.253,False,S,9.363,3,male,1,0,Southampton,E
26.329,False,C,78.243,1,female,0,1,Cherbourg,C
22.184,False,C,13.083,2,female,0,0,Cherbourg,D
25.967,True,S,7.124,3,male,0,1,Southampton,G
32.628,True,Q,24.041,3,male,0,0,Queenstown,F
7.027,False,Q,28.109,3,male,4,1,Queenstown,F
17.943,True,S,8.884,3,male,0,1,Southampton,G
36.829,True,C,27.057,1,male,0,0,Cherbourg,B
49.716,True,S,25.231,2,female,0,1,Southampton,D
18.804,False,S,34.3,3,male,0,0,Southampton,E
6.785,False,Q,28.761,3,male,0,0,Queenstown,F
16.998,True,Q,5.95,3,male,0,0,Queenstown,G
33.75,False,Q,14.563,3,female,1,0,Queenstown,G
22.889,True,S,13.278,2,female,1,0,Southampton,F
20.199,True,S,7.802,3,male,0,0,Southampton,G
36.299,True,S,8.558,3,male,0,0,Southampton,F
16.941,True,C,111.142,1,male,0,0,Cherbourg,E
26.907,False,C,75.135,1,male,0,1,Cherbourg,C
52.302,True,S,26.49,1,male,0,0,Southampton,D
21.991,True,S,7.255,3,female,2,0,Southampton,E
56.286,True,C,76.831,1,male,0,0,Cherbourg,B
34.91,True,S,10.551,2,male,0,0,Southampton,E
26.612,True,Q,7.093,3,male,0,0,Queenstown,E
62.056,False,S,251.292,1,male,0,0,Southampton,C
57.566,True,,26.645,1,female,0,1,,B
20.101,True,S,11.074,2,male,0,0,Southampton,F
2.382,False,S,38.014,2,male,1,1,Southampton,F
23.39,True,S,24.583,3,female,0,0,Southampton,E
22.589,False,S,54.454,1,female,0,1,Southampton,B
18.988,False,S,28.855,1,female,2,1,Southampton,C
19.323,True,S,29.065,1,female,0,1,Southampton,C
31.874,False,C,37.07,2,male,0,0,Cherbourg,D
20.518,True,,0.715,2,male,0,0,,D
57.91,True,C,109.953,1,male,0,1,Cherbourg,D
35.52,False,S,22.713,2,female,1,1,Southampton,D
24.31,True,Q,8.629,3,female,1,0,Queenstown,F
36.381,False,S,8.174,3,male,0,0,Southampton,E
53.315,True,S,79.555,1,male,0,0,Southampton,C
22.607,True,S,24.566,3,female,0,0,Southampton,F
22.089,True,C,26.66,1,male,0,0,Cherbourg,E
25.929,False,,11.249,2,female,0,1,,E
26.985,False,C,7.0,3,male,0,0,Cherbourg,F
36.685,True,Q,14.489,3,male,0,0,Queenstown,F
17.016,True,S,11.176,2,male,0,0,Southampton,F
37.89,True,C,227.47,1,female,1,1,Cherbourg,E
15.035,True,S,5.941,3,male,0,1,Southampton,F
34.068,True,S,55.154,1,female,0,1,Southampton,B
16.646,True,S,5.957,3,male,0,0,Southampton,G
21.516,True,S,7.375,3,male,0,0,Southampton,G
16.599,True,S,5.984,3,male,0,0,Southampton,F
29.276,False,S,8.611,3,female,1,0,Southampton,F
21.669,False,S,7.311,3,male,0,0,Southampton,F
34.759,False,S,20.145,3,female,1,0,Southampton,G
16.901,True,S,5.957,3,male,0,0,Southampton,F
16.296,True,S,8.755,3,male,0,0,Southampton,F
22.294,True,S,7.324,3,male,0,0,Southampton,E
2.235,True,S,10.395,3,male,1,1,Southampton,F
21.846,True,S,7.779,3,male,0,0,Southampton,F
23.365,True,S,21.301,3,male,0,0,Southampton,F
37.335,True,S,27.67,1,male,0,1,Southampton,C
16.84,True,S,6.069,3,male,0,0,Southampton,F
36.272,True,S,31.332,3,female,0,1,Southampton,G
20.871,True,S,8.119,3,male,0,0,Southampton,E
17.952,True,C,3.195,3,male,0,0,Cherbourg,E
72.171,True,,49.473,1,male,0,0,,B
42.969,True,S,7.394,3,male,0,0,Southampton,G
8.801,False,S,26.731,3,male,3,0,Southampton,G
54.026,True,S,13.173,2,male,0,0,Southampton,D
2.895,False,C,19.864,3,female,1,1,Cherbourg,F
47.689,True,C,7.57,3,male,0,0,Cherbourg,F
31.044,True,S,6.48,3,male,1,1,Southampton,F
41.778,True,C,13.717,3,female,0,1,Cherbourg,F
1.177,False,S,18.411,2,male,0,1,Southampton,F
32.374,False,C,6.472,3,male,1,0,Cherbourg,E
48.201,True,C,55.824,1,male,0,0,Cherbourg,B
33.989,False,S,52.943,1,female,0,1,Southampton,D
18.101,True,S,73.788,1,female,0,1,Southampton,C
3.584,True,Q,28.016,3,male,0,0,Queenstown,F
1.215,True,S,39.108,3,male,1,1,Southampton,G
16.03,True,S,5.989,3,male,0,0,Southampton,F
21.011,True,S,7.375,3,male,0,1,Southampton,G
23.45,True,S,7.278,3,female,0,1,Southampton,E
20.494,True,S,7.447,3,male,0,0,Southampton,F
21.394,False,S,7.353,3,male,0,0,Southampton,G
23.739,True,S,21.671,3,male,1,0,Southampton,G
32.34,True,S,54.022,3,male,0,0,Southampton,F
16.113,True,S,6.088,3,male,0,0,Southampton,F
46.409,False,C,112.209,1,male,0,1,Cherbourg,C
51.656,True,S,7.471,3,male,0,0,Southampton,G
17.938,True,S,8.91,3,male,0,0,Southampton,G
66.411,True,,10.5,2,male,0,0,,F
26.853,True,S,7.037,3,male,0,0,Southampton,G
30.428,True,S,21.563,3,male,0,0,Southampton,E
29.066,True,S,8.137,3,female,1,1,Southampton,F
41.712,False,,0.629,2,male,0,0,,F
18.258,True,Q,6.807,3,female,0,0,Queenstown,E
27.625,False,S,25.936,1,male,0,1,Southampton,C
51.875,False,S,27.781,1,male,0,0,Southampton,C
53.35,False,C,63.554,1,male,1,1,Cherbourg,A
31.123,True,S,71.019,2,male,0,0,Southampton,E
31.139,True,Q,6.557,3,male,1,0,Queenstown,F
21.737,False,C,86.443,1,female,0,1,Cherbourg,D
36.142,True,,3.178,1,male,0,1,,B
