call_id,customer_id,call_date,contact,complaint,agent,duration,escalated,referred,stat_0,stat_1,stat_2,stat_3,stat_4,stat_5,stat_6,stat_7,stat_8,stat_9,stat_10,stat_11,stat_12,stat_13,stat_14,stat_15,stat_16,stat_17,stat_18,stat_19,stat_20,stat_21,stat_22,stat_23,stat_24,stat_25,stat_26,stat_27,stat_28,stat_29,stat_30,stat_31,stat_32,stat_33,stat_34,stat_35,stat_36,stat_37,stat_38,stat_39
6881408,CU_4161214,10-01-2018 08:28:34,Letter,You took too long,Nikki,00:01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5079173,CU_4311408,10-01-2018 08:29:15,E-mail,Unsuitable advice,Gladys,00:01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8388741,CU_2148210,10-01-2018 08:38:10,Phone Call,You are not easy to deal with,Valerie,00:01,0,0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
7569548,CU_1477355,10-01-2018 08:40:46,Phone Call,You provided me with incorrect information,Erika ,00:01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
9076877,CU_5034316,10-01-2018 08:41:48,Questionnaire,I have been mis-sold this product,Debora,00:01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7176334,CU_3159152,10-01-2018 08:43:11,Letter,You are not easy to deal with,Carol,00:01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966234,CU_3279873,10-01-2018 08:43:58,E-mail,FA advice queried,Amalia,00:01,0,0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5472414,CU_2769894,10-01-2018 08:44:53,E-mail,You took too long,Macey ,00:01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
5144734,CU_4797885,10-01-2018 08:46:44,Phone Call,You took too long,Minerva,00:01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7569567,CU_5384596,10-01-2018 08:50:14,Phone Call,Standard letter inappropriate,Leona ,00:01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7798949,CU_8996562,10-01-2018 08:51:45,Letter & Phone Call,You never answered my question,Maryanne,00:01,0,0,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
6062247,CU_2923799,10-01-2018 08:54:53,Phone Call,Unsuitable advice,Minerva,00:01,0,0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
4817064,CU_1986580,10-01-2018 08:55:02,Phone Call,You have asked for too much information,Bronwyn ,00:01,0,0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9339051,CU_5290673,10-01-2018 08:56:46,Letter,I have been mis-sold this product,Minnie ,00:01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
9076913,CU_7696026,10-01-2018 08:57:48,Phone Call,You provided me with incorrect information,Amie ,00:02,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3408050,CU_7725954,10-01-2018 08:59:06,Phone Call,My details are not accurate,Gladys,00:02,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6389939,CU_8525906,10-01-2018 09:00:00,Phone Call,Unhappy with delay,Alishba ,00:02,0,0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2752700,CU_7245127,10-01-2018 09:03:06,Phone Call,You are not easy to deal with,Mina ,00:02,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4489409,CU_5221452,10-01-2018 09:06:13,Phone Call,Unhappy with delay,Corrine,00:02,0,0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4620481,CU_6997307,10-01-2018 09:06:40,Phone Call,You never answered my question,Minnie ,00:02,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1441988,CU_8039228,10-01-2018 09:08:40,Questionnaire,I have been mis-sold this product,Melody ,00:02,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6783184,CU_9031119,10-01-2018 09:15:26,Phone Call,You are not easy to deal with,Zara ,00:02,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8913106,CU_7852994,10-01-2018 09:18:52,Letter,You took too long,Melody ,00:02,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
3768531,CU_1831543,10-01-2018 09:19:07,Phone Call,I cannot understand your letter/comms,Melody ,00:02,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2818258,CU_8515098,10-01-2018 09:19:57,Phone Call,Payment Failure/Incorrect Payment,Ofelia,00:02,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
4620502,CU_6462637,10-01-2018 09:21:23,E-mail,You are not easy to deal with,Maribel,00:02,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7602391,CU_7086185,10-01-2018 09:22:09,Phone Call,I have been mis-sold this product,Gladys,00:02,0,0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
6160605,CU_2935378,10-01-2018 09:25:18,Phone Call,You are not easy to deal with,Minnie ,00:02,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3047651,CU_1465655,10-01-2018 09:25:31,Phone Call,You have asked for too much information,Bronwyn ,00:02,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
3571942,CU_8962428,10-01-2018 09:27:56,Internet,You took too long,Carol,00:02,0,0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8814836,CU_9730983,10-01-2018 09:30:46,Phone Call,You provided me with incorrect information,Naomi ,00:02,0,0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6488313,CU_5280508,10-01-2018 09:31:39,Phone Call,You are not easy to deal with,Mina ,00:02,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7405820,CU_4041965,10-01-2018 09:32:49,MyPortal,Unhappy with delay,Macey ,00:02,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4456708,CU_2029755,10-01-2018 09:33:16,Letter,Payment not generated/received by customer,Jewell,00:03,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5177609,CU_3823673,10-01-2018 09:37:24,Phone Call,I have been mis-sold this product,Macey ,00:03,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1310989,CU_3290779,10-01-2018 09:41:32,Phone Call,Product - Contract terms and conditions,Gladys,00:03,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4882702,CU_8808758,10-01-2018 09:42:02,Phone Call,Payment Failure/Incorrect Payment,Bronwyn ,00:03,0,0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4325647,CU_2559439,10-01-2018 09:42:09,Phone Call,Requested documentation not issued,Minnie ,00:03,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3834129,CU_5207207,10-01-2018 09:42:15,Phone Call,Payment Failure/Incorrect Payment,Gladys,00:03,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1671442,CU_4447772,10-01-2018 09:42:23,E-mail,Unhappy with delay,Alishba ,00:03,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9208083,CU_9145218,10-01-2018 09:42:45,Phone Call,You are not easy to deal with,Krystal,00:03,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
6750485,CU_6688783,10-01-2018 09:43:00,Letter,I have been mis-sold this product,Valerie,00:03,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4260119,CU_3196880,10-01-2018 09:45:36,Phone Call,I have been mis-sold this product,Naomi ,00:03,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4129048,CU_9517046,10-01-2018 09:46:02,Phone Call,You are not easy to deal with,Macey ,00:03,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
4194585,CU_4136081,10-01-2018 09:46:12,Phone Call,You took too long,Mina ,00:03,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3801376,CU_3542146,10-01-2018 09:46:53,Phone Call,You are not easy to deal with,Melody ,00:03,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6684965,CU_4095762,10-01-2018 09:47:52,Phone Call,Payment Failure/Incorrect Payment,Macey ,00:03,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9797927,CU_6070954,10-01-2018 09:50:20,Phone Call,You are not easy to deal with,Leona ,00:03,0,0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
3768616,CU_8328463,10-01-2018 09:57:15,E-mail,Unsuitable advice,Minnie ,00:03,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7536937,CU_3680709,10-01-2018 10:00:33,Phone Call,You did not explain the terms & conditions,Nikki,00:03,0,0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638695,CU_9018146,10-01-2018 10:06:15,Phone Call,Unhappy with delay,Maryanne,00:03,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3014955,CU_2062867,10-01-2018 10:07:42,Account manager,I have been mis-sold this product,Elissa ,00:03,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7110958,CU_5135237,10-01-2018 10:18:36,Phone Call,You are not easy to deal with,Maribel,00:04,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048879,CU_5931673,10-01-2018 10:20:49,Phone Call,Unsuitable advice,Debora,00:04,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1179951,CU_4220520,10-01-2018 10:21:44,Phone Call,You provided me with incorrect information,Naomi ,00:04,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8388915,CU_8949772,10-01-2018 10:23:46,E-mail,You were not helpful,Nikki,00:04,0,0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,
7438644,CU_7862346,10-01-2018 10:24:37,Questionnaire,I cannot understand your letter/comms,Jewell,00:04,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6586676,CU_3620757,10-01-2018 10:28:25,Letter,I have been mis-sold this product,Carol,00:04,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3604801,CU_6542121,10-01-2018 10:31:47,E-mail,You took too long,Darcey ,00:04,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
1868098,CU_3502214,10-01-2018 10:38:30,Phone Call,You took too long,Mina ,00:04,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7176515,CU_1742336,10-01-2018 10:49:23,Phone Call,Payment Failure/Incorrect Payment,Ofelia,00:04,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5505355,CU_7086185,10-01-2018 10:55:46,Phone Call,You took too long,Minnie ,00:04,0,0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8159564,CU_5817296,10-01-2018 10:55:54,Fax,You are not easy to deal with,Naomi ,00:04,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2294094,CU_2047146,10-01-2018 10:57:11,Phone Call,You provided me with incorrect information,Krystal,00:04,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9240911,CU_9563764,10-01-2018 11:00:39,Fax,Payment Failure/Incorrect Payment,Melody ,00:04,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9601367,CU_9563764,10-01-2018 11:01:16,Account manager,I have been mis-sold this product,Minerva,00:04,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5308759,CU_8929879,10-01-2018 11:09:23,Phone Call,I have been mis-sold this product (PPI),Nikki,00:04,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4751704,CU_3157849,10-01-2018 11:15:48,Phone Call,You were not helpful,Carol,00:04,0,0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
5439835,CU_7245127,10-01-2018 11:16:02,MyPortal,You are not easy to deal with,Macey ,00:04,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4489564,CU_9438462,10-01-2018 11:19:40,E-mail,Standard letter inappropriate,Minnie ,00:04,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
2556253,CU_7124690,10-01-2018 11:20:32,Phone Call,Payment not generated/received by customer,Tania,00:04,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3670363,CU_5290673,10-01-2018 11:22:09,Internet,You took too long,Zara ,00:04,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048928,CU_1242917,10-01-2018 11:23:16,Phone Call,You took too long,Minnie ,00:04,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
2556257,CU_9212863,10-01-2018 11:26:33,Phone Call,You never answered my question,Macey ,00:04,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4129120,CU_3008404,10-01-2018 11:26:50,Phone Call,You have asked for too much information,Maribel,00:05,0,1,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
8683875,CU_5474124,10-01-2018 11:27:29,Letter,You are not easy to deal with,Valerie,00:05,0,0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7078243,CU_7565531,10-01-2018 11:32:36,Letter,Payment Failure/Incorrect Payment,Minnie ,00:05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1343847,CU_5192275,10-01-2018 11:36:03,Phone Call,You did not keep me updated,Elissa ,00:05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7536999,CU_3196278,10-01-2018 11:36:24,Internet,Unsuitable advice,Gladys,00:05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5931371,CU_8023550,10-01-2018 11:37:15,Phone Call,You are not easy to deal with,Valerie,00:05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868151,CU_7284324,10-01-2018 11:44:52,Phone Call,Payment Failure/Incorrect Payment,Corrine,00:05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4391288,CU_3567556,10-01-2018 11:59:16,Phone Call,You took too long,Macey ,00:05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8913276,CU_2370918,10-01-2018 12:04:47,Phone Call,Incorrect information given,Alishba ,00:05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
9961853,CU_2278389,10-01-2018 12:21:05,E-mail & Phone Call,Policy amendments not carried out,Gladys,00:05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5964160,CU_9227384,10-01-2018 12:24:33,Questionnaire,I have been mis-sold this product,Leona ,00:05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4620675,CU_3340732,10-01-2018 12:40:41,Phone Call,I have been mis-sold this product,Bronwyn ,00:05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2326916,CU_2300999,10-01-2018 12:57:14,E-mail,No reply to customer contact,Carol,00:05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
6783363,CU_4402689,10-01-2018 13:02:23,Phone Call,Payment Failure/Incorrect Payment,Valerie,00:05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5144968,CU_4707217,10-01-2018 13:02:24,Phone Call,Unhappy with delay,Maribel,00:05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5996937,CU_1248737,10-01-2018 13:02:43,E-mail,You took too long,Nikki,00:05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9306506,CU_6067106,10-01-2018 13:03:13,MyPortal,You provided me with incorrect information,Maryanne,00:05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3375499,CU_5902482,10-01-2018 13:06:23,Phone Call,You took too long,Zoe ,00:05,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2589068,CU_6630945,10-01-2018 13:12:51,Phone Call,You are not easy to deal with,Krystal,00:05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9109913,CU_5986233,10-01-2018 13:14:37,E-mail,Policy amendments not carried out,Gladys,00:06,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1343897,CU_2725233,10-01-2018 13:17:13,Internet,You did not explain the terms & conditions,Macey ,00:06,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7569819,CU_3287438,10-01-2018 13:30:26,Phone Call,Payment Failure/Incorrect Payment,Debora,00:06,0,0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5112225,CU_3737715,10-01-2018 13:39:04,Letter,You took too long,Debora,00:06,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3801507,CU_9781284,10-01-2018 13:45:00,Phone Call,Product - Contract terms and conditions,Minnie ,00:06,0,0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
1114534,CU_9145770,10-01-2018 13:49:22,E-mail,Unhappy with delay,Maribel,00:06,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9634217,CU_7489279,10-01-2018 13:52:23,Phone Call,Payment Failure/Incorrect Payment,Corrine,00:06,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2359724,CU_6051056,10-01-2018 13:55:47,MyPortal,You are not easy to deal with,Minerva,00:06,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3637676,CU_1507206,10-01-2018 13:57:51,E-mail,You are not easy to deal with,Debora,00:06,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8716718,CU_1128398,10-01-2018 13:59:45,MyPortal,Payment Failure/Incorrect Payment,Darcey ,00:06,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
4850095,CU_4935913,10-01-2018 14:03:10,Phone Call,Payment Failure/Incorrect Payment,Antoinette,00:06,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720172,CU_9145770,10-01-2018 14:07:06,Questionnaire,Payment Failure/Incorrect Payment,Carol,00:06,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5145009,CU_6182046,10-01-2018 14:08:12,Letter,Payment Failure/Incorrect Payment,Minerva,00:06,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7373232,CU_3310659,10-01-2018 14:10:41,Phone Call,You never answered my question,Naomi ,00:06,0,1,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
2425267,CU_6731106,10-01-2018 14:16:10,Questionnaire,I have been mis-sold this product,Mina ,00:07,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4063661,CU_4041965,10-01-2018 14:19:20,Fax,Unhappy with delay,Millie,00:07,0,0,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
9142708,CU_3502214,10-01-2018 14:24:35,E-mail,You did not understand my needs,Mina ,00:07,0,0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2785721,CU_8964343,10-01-2018 14:24:53,Phone Call,Payment Failure/Incorrect Payment,Leona ,00:07,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6750650,CU_3483009,10-01-2018 14:28:21,Internet,All points not addressed,Minerva,00:07,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1442235,CU_4920840,10-01-2018 14:34:11,Phone Call,You took too long,Minerva,00:07,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
